3,Fp1,0.9511,0.309,0.0001,
4,Fpz,1.0,-0.0,0.0001,
5,Fp2,0.9511,-0.3091,0.0,
7,AF7,0.809,0.5878,0.0,
9,AF3,0.892,0.3554,0.2782,
11,AFz,0.923,0.0,0.3824,
13,AF4,0.8919,-0.3553,0.2783,
15,AF8,0.809,-0.5878,0.0,
18,F7,0.5878,0.809,0.0,
19,F5,0.6343,0.721,0.2764,
20,F3,0.6726,0.5399,0.5043,
21,F1,0.6979,0.2888,0.6542,
22,Fz,0.7067,0.0,0.7067,
23,F2,0.6979,-0.2888,0.6542,
24,F4,0.6726,-0.5399,0.5043,
25,F6,0.6343,-0.721,0.2764,
26,F8,0.5878,-0.809,0.0,
28,FT9,0.2852,0.8777,-0.3826,
29,FT7,0.309,0.9511,0.0,
30,FC5,0.3373,0.8709,0.3549,
31,FC3,0.3612,0.6638,0.6545,
32,FC1,0.377,0.3581,0.8532,
33,FCz,0.3826,0.0,0.9233,
34,FC2,0.377,-0.3581,0.8532,
35,FC4,0.3612,-0.6638,0.6545,
36,FC6,0.3373,-0.8709,0.3549,
37,FT8,0.309,-0.9511,0.0,
38,FT10,0.2852,-0.8777,-0.3826,
39,T9,-0.0001,0.9237,-0.3826,
40,T7,0.0,1.0,0.0,
41,C5,0.0001,0.9237,0.3826,
42,C3,0.0001,0.7066,0.7066,
43,C1,0.0002,0.3824,0.9231,
44,Cz,0.0002,0.0,1.0,
45,C2,0.0001,-0.3824,0.9231,
46,C4,0.0001,-0.7066,0.7066,
47,C6,0.0001,-0.9237,0.3826,
48,T8,0.0,-1.0,0.0,
49,T10,0.0,-0.9237,-0.3826,
50,TP9,-0.2852,0.8777,-0.3826,
51,TP7,-0.309,0.9511,-0.0001,
52,CP5,-0.3372,0.8712,0.3552,
53,CP3,-0.3609,0.6635,0.6543,
54,CP1,-0.3767,0.358,0.8534,
55,CPz,-0.3822,0.0,0.9231,
56,CP2,-0.3767,-0.358,0.8534,
57,CP4,-0.3608,-0.6635,0.6543,
58,CP6,-0.3372,-0.8712,0.3552,
59,TP8,-0.309,-0.9511,-0.0001,
60,TP10,-0.2853,-0.8777,-0.3826,
61,P9,-0.5429,0.7472,-0.3826,
62,P7,-0.5878,0.809,-0.0001,
63,P5,-0.6342,0.7211,0.2764,
64,P3,-0.6724,0.5401,0.5045,
65,P1,-0.6975,0.2889,0.6545,
66,Pz,-0.7063,0.0,0.7065,
67,P2,-0.6975,-0.2889,0.6545,
68,P4,-0.6724,-0.5401,0.5045,
69,P6,-0.6342,-0.7211,0.2764,
70,P8,-0.5878,-0.809,-0.0001,
71,P10,-0.5429,-0.7472,-0.3826,
73,PO7,-0.809,0.5878,0.0,
75,PO3,-0.8918,0.3549,0.2776,
77,POz,-0.923,-0.0,0.3824,
79,PO4,-0.8918,-0.3549,0.2776,
81,PO8,-0.809,-0.5878,0.0,
83,O1,-0.9511,0.309,0.0,
84,Oz,-1.0,0.0,0.0,
85,O2,-0.9511,-0.309,0.0,
87,Iz,-0.923,0.0,-0.3823,
